Book,Author(s),Original language,First published,Approximate sales
World Almanac  (published every year),Various authors,English,1868–76; 1886–present,82 million  [328]  [329]
Betty Crocker Cookbook,General Mills staff,English,1950–2016 (12th edition),75 million  [330]
Tung Shing  (  Chinese  :  通勝  ),"Choi Park Lai's family, among others",Chinese,1891(Only counting versions published by Choi's family),>70 million (Only counting version published by Choi)  [331]
Merriam-Webster's Collegiate Dictionary,Merriam-Webster,English,1898,55 million  [332]
