Book,Author(s),Original language,First published,Approximate sales,Genre
A Tale of Two Cities,Charles Dickens,English,1859,>200 million  [20],Historical fiction
The Little Prince  (  Le Petit Prince  ),Antoine de Saint-Exupéry,French,1943,200 million  [21]  [22]  [23],"Fantasy  ,  children's fiction"
The Alchemist  (  O Alquimista  ),Paulo Coelho,Portuguese,1988,150 million  [24]  [25],Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million  [26]  [27],"Fantasy  ,  children's fiction"
And Then There Were None,Agatha Christie,English,1939,100 million  [28],Mystery
Dream of the Red Chamber  (紅樓夢),Cao Xueqin,Chinese,1791,100 million  [29]  [30],Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100 million  [31]  [32]  [33],"Fantasy  ,  children's fiction"
