Book,Author(s),Original language,First published,Approximate sales,Genre
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million  [54],Children's literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million  [55],"Novella  , self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million  [56],"Children's literature  , picture book"
A Message to Garcia,Elbert Hubbard,English,1899,40 million  [45],Essay/literature
To Kill a Mockingbird,Harper Lee,English,1960,40 million  [57],"Southern Gothic  ,  Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40 million  [58],"Gothic horror  ,  family saga"
Cosmos,Carl Sagan,English,1980,40 million  [59],"Popular science  ,  anthropology  ,  astrophysics  ,  cosmology  ,  philosophy  ,  history"
Sophie's World  (  Sofies verden  ),Jostein Gaarder,Norwegian,1991,40 million  [60],"Philosophical novel  ,  Young adult"
Angels & Demons,Dan Brown,English,2000,39 million  [61],mystery  -  thriller
Alcoholics Anonymous,William Griffith Wilson,English,1939,over 37 million  [62],Self-help
Kane and Abel,Jeffrey Archer,English,1979,37 million  [63],Novel
How the Steel Was Tempered  (  Как закалялась сталь  ),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR  [64],Socialist realist  novel
War and Peace  (  Война и мир  ),Leo Tolstoy,Russian,1869,36 million copies in Russia  [64],Historical novel
The Adventures of Pinocchio  (  Le avventure di Pinocchio  ),Carlo Collodi,Italian,1881,35 million  [65]  [66]  [  better source needed  ],"Fantasy  ,  children's fiction"
The Diary of Anne Frank  (  Het Achterhuis  ),Anne Frank,Dutch,1947,35 million  [67],"Historical non-fiction  ,  autobiography  ,  memoir  ,  bildungsroman  /  coming of age  ,  Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35 million  [68]  [69],Self-help
The Thorn Birds,Colleen McCullough,English,1977,33 million  [70],Romantic family saga
The Kite Runner,Khaled Hosseini,English,2003,31.5 million  [71],"Bildungsroman  ,  historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31 million  [72],Novel
How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million  [73]  [74],Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")  [75]","Novel,  tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.)  [76],Historical fiction
Rebecca,Daphne du Maurier,English,1938,30 million (est.)  [77],Gothic novel
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million  [78],Fiction
The Girl with the Dragon Tattoo  (  Män som hatar kvinnor  ),Stieg Larsson,Swedish,2005,30 million  [79],Fiction
The Lost Symbol,Dan Brown,English,2009,30 million  [80],Fiction
The Hunger Games,Suzanne Collins,English,2008,29 million in US  [81],Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28 million  [82],Children's novel
The Young Guard  (  Молодая гвардия  ),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR  [64],Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28  [83]  – 30  [84]  million,"Self-help  ,  motivational  ,  business fable  ,  psychology  ,  leadership  ,  parable"
A Brief History of Time,Stephen Hawking,English,1988,25 million  [85],Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million  [86],Novel
Lust for Life,Irving Stone,English,1934,25 million  [87],Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25 million  [88],Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million  [89],Self-help
Totto-Chan: The Little Girl at the Window  (窓ぎわのトットちゃん),Tetsuko Kuroyanagi,Japanese,1981,25 million  [90],Autobiographical novel
Virgin Soil Upturned  (  Поднятая целина  ),Mikhail Sholokhov,Russian,1935,24 million copies in USSR  [64],Novel
The Celestine Prophecy,James Redfield,English,1993,23 million  [91],New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23 million  [92],Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23 million  [93],Thriller
The Shack,William P. Young,English,2007,22.5 million  [94],Novel
Uncle Styopa  (  Дядя Стёпа  ),Sergey Mikhalkov,Russian,1936,21 million copies in USSR  [64],"Children's Literature, picture book"
The Godfather,Mario Puzo,English,1969,21 million  [95],Crime novel
Love Story,Erich Segal,English,1970,21 million  [96],Romance novel
Catching Fire,Suzanne Collins,English,2009,21 million in US  [81],"Young adult novel, adventure, dystopian,  science fiction"
Mockingjay,Suzanne Collins,English,2010,20 million in US  [81],"Young Adult novel, adventure, war, science fiction, action thriller"
Kitchen  (キッチン),Banana Yoshimoto,Japanese,1988,20 million  [97],Japanese novel
Andromeda Nebula  (  Туманность Андромеды  ),Ivan Yefremov,Russian,1957,20 million  [98],Science fiction novel
