Book,Author(s),Original language,First published,Approximate sales,Genre
Gone Girl,Gillian Flynn,English,2012,20 million  [99],Crime thriller novel
The Bermuda Triangle,Charles Berlitz,English,1974,20 million  [100],
Things Fall Apart,Chinua Achebe,English,1958,20 million  [101],Novel
Wolf Totem  (狼图腾),Jiang Rong,Chinese,2004,20 million  [102],Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million  [103],Memoir
Jaws,Peter Benchley,English,1974,20 million  [104],Thriller
Love You Forever,Robert Munsch,English,1986,20 million  [105],"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,English,1977,20 million  [106],Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg  and  Heidi Murkoff,English,1984,20 million  [107],Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million  [108],"Picaresque novel  ,  Bildungsroman  , satire,  Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million  [109],Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20 million  [110]  [111],"Classic  regency novel  , romance"
Kon-Tiki: Across the Pacific in a Raft  (  Kon-Tiki ekspedisjonen  ),Thor Heyerdahl,Norwegian,1950,20 million  [112],Travel literature
The Good Soldier Švejk  (  Osudy dobrého vojáka Švejka za světové války  ),Jaroslav Hašek,Czech,1923,20 million (printed)  [113],Unfinished  satirical  dark comedy  novel
Where the Wild Things Are,Maurice Sendak,English,1963,20 million  [114],Children's  picture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million  [115],Self-help
The Secret,Rhonda Byrne,English,2006,20 million  [116],Self-help
Fear of Flying,Erica Jong,English,1973,20 million  [117],Romantic novel
Dune,Frank Herbert,English,1965,20 million  [118],Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million  [119],Children's  fantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million  [120],"Social Science  ,  Anthropology  ,  Psychology"
Kokoro  (こゝろ),Natsume Sōseki,Japanese,1914,20 million (as of 1994)  [121],Novel
