Book,Author(s),Original language,First published,Approximate sales
超図解シリーズ (  Cho-Zukai series  ),X media  [  ja  ],Japanese,1996–2007,25 million  [340]
自由自在  [  ja  ]  (  Jiyu Jizai  ),Various authors,Japanese,1953–present,24 million  [341]
新明解国語辞典 (  Shin Meikai kokugo jiten  ),Tadao Yamada,Japanese,1972,20.4 million  [342]
English Grammar,Lindley Murray,English,1795,20 million  [343]
