Book,Author(s),Original language,First published,Approximate sales
新华字典 (  Xinhua Zidian  / Xinhua Dictionary),Chief editor: Wei Jiangong,Chinese,1957,567 million  [323]
Scouting for Boys,Robert Baden-Powell,English,1908,100–150 million  [324]
The McGuffey Readers,William Holmes McGuffey,English,1853,125 million  [325]
Guinness World Records  (published every year),Various authors,English,1955,115 million  [326]
六星占術によるあなたの運命 (  Rokusei Senjutsu (Six-Star Astrology) Tells Your Fortune  ),Kazuko Hosoki  Kaori Hosoki,Japanese,1986,101.2 million  [327]
American Spelling Book  (  Webster's Dictionary  ),Noah Webster,English,1783,100 million  [45]
